Вакансия,Зарплата,Местоположение,Описание
Дизайнер,40 000 руб.,Город не указан,"Добрый день. Я дизайнер с небольшим опытом работы, работал в фигме и фотошопе, немного понимаю в HTML, CSS и JS. Очень буду рад сотрудничать с вами !"
Junior - дизайнер,30 000 руб.,Город не указан,"Здравствуйте, меня зовут Виктория. Мне 23 года, живу в Санкт-Петербурге. Моя деятельность началась с издательского дела и плавно перешла в рекламу. Почти четыре года назад я окончила Саратовский Архит..."
Веб-дизайн,30 000 руб.,Город не указан,"Всем привет! Меня зовут Катя! Делаю лендинги, карточки, презентации, сайты с нуля Могу сверстать сайт на Tilda,если вам это нужно. Основная практика на Figme/ В работе над любым проектом, я основываюс..."
Веб-дизайнер,20 000 руб.,Город не указан,"Добрый день. В поиске стажировки и работы на позицию Junior-веб-дизайнера. Мотивирован к дополнительному обучению. В работе использую: Figma, Adobe Photoshop, Adobe Illustrator, Tilda. Мой сайт-портфо..."
Графический дизайнер,40 000 руб.,Город не указан,"Художник-дизайнер Дизайн эскизов для клиентов, пескоструйная обработка стёкол, разработка векторных изображений для: алмазной гравировки, пескоструйной обработки, пирографии, полиграфии. Разработка ка..."
Графический дизайнер,30 000 руб.,Город не указан,"Обучаюсь на графического дизайнера в школе Contented Личные качества: доброжелательна, ответственно подхожу к работе, выполняю задачи в заданный срок, стремлюсь к самосовершенствованию, Компьютерные н..."
Веб-дизайнер,30 000 руб.,Город не указан,Во время учебы в НГУЭУ по специальности прикладная информатика СПО. Я проходила практику и на ней создавала дизайн и макет сайта в Figma. Помимо учебы я изучала Веб-дизайн
Педагогический дизайнер  онлайн-курсов,50 000 руб.,Город не указан,Методист онлайн-курсов Полная/частичная занятость Удаленный режим работы Ключевые компетенции ● Разработка концепции и программы онлайн-курса ● Подбор оптимальных форматов обучения для теории и практи...
Графический Дизайнер,40 000 руб.,Город не указан,"Логотипы, баннеры, открытки, упаковки и многое другое"
Дизайнер-верстальщик на Тильда,120 000 руб.,Город не указан,"Мне 30 лет, имею высшее техническое образование. В 2022 году прошел курс официальной Школы Тильда.  По текущему роду деятельности (преподавание) создал и до недавнего времени поддерживал рабочий сайт..."
